Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
kafka-streams-examples-3.1.0.jar,Apache-2.0,http://licenses.nuget.org/Apache-2.0,generic,kafka-streams-examples-3.1.0.jar,generic://sha256:65370a76188a014a8f60158b317dd7990441e60b364245766a29dbc013e1dd6e/kafka-streams-examples-3.1.0.jar,
clone,MIT,http://www.opensource.org/licenses/MIT,npm,clone:2.1.2,npm://clone,2.1.2
ubuntu:focal:git,"Apache-2.0,BSD-2-Clause,BSL-1.0,GPL-2.0-only,GPL-2.0-or-later,ISC","http://licenses.nuget.org/Apache-2.0,http://opensource.org/licenses/BSD-2-Clause,http://www.boost.org/LICENSE_1_0.txt,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.opensource.org/licenses/ISC",deb,ubuntu:focal:git:1:2.25.1-1ubuntu3.4,deb://ubuntu:focal:git,1:2.25.1-1ubuntu3.4
ubuntu:focal:xz-utils,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,ubuntu:focal:xz-utils:5.2.4-1ubuntu1,deb://ubuntu:focal:xz-utils,5.2.4-1ubuntu1
com.dremio.services:dremio-services-namespace,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.dremio.services:dremio-services-namespace:20.1.0-202202061055110045-36733c65,gav://com.dremio.services:dremio-services-namespace,20.1.0-202202061055110045-36733c65
de.vandermeer:asciilist,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,de.vandermeer:asciilist:0.0.3,gav://de.vandermeer:asciilist,0.0.3
io.strimzi:kafka-oauth-server-plain,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.strimzi:kafka-oauth-server-plain:0.10.0,gav://io.strimzi:kafka-oauth-server-plain,0.10.0
org.apache.hbase:hbase-protocol-shaded,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.hbase:hbase-protocol-shaded:2.2.0,gav://org.apache.hbase:hbase-protocol-shaded,2.2.0
content-type,MIT,http://www.opensource.org/licenses/MIT,npm,content-type:1.0.4,npm://content-type,1.0.4
libnpmdiff,ISC,http://www.opensource.org/licenses/ISC,npm,libnpmdiff:4.0.2,npm://libnpmdiff,4.0.2
libnpmhook,ISC,http://www.opensource.org/licenses/ISC,npm,libnpmhook:8.0.2,npm://libnpmhook,8.0.2
table,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,npm,table:6.8.0,npm://table,6.8.0
s3transfer,Apache-2.0,http://licenses.nuget.org/Apache-2.0,pypi,s3transfer:0.5.0,pypi://s3transfer,0.5.0
