Package,License,Repository,,,,
@babel/code-frame@npm:7.12.11,MIT,https://github.com/babel/babel.git,,,,
@babel/code-frame@npm:7.15.8,MIT,https://github.com/babel/babel.git,,,,
@babel/code-frame@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/code-frame@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/compat-data@npm:7.15.0,MIT,https://github.com/babel/babel.git,,,,
@babel/compat-data@npm:7.16.4,MIT,https://github.com/babel/babel.git,,,,
@babel/core@npm:7.12.9,MIT,https://github.com/babel/babel.git,,,,
@babel/core@npm:7.13.14,MIT,https://github.com/babel/babel.git,,,,
@babel/core@npm:7.15.8,MIT,https://github.com/babel/babel.git,,,,
@babel/core@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/core@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/generator@npm:7.15.8,MIT,https://github.com/babel/babel.git,,,,
@babel/generator@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/generator@npm:7.16.5,MIT,https://github.com/babel/babel.git,,,,
@babel/generator@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-annotate-as-pure@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-annotate-as-pure@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-builder-binary-assignment-operator-visitor@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-builder-binary-assignment-operator-visitor@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-compilation-targets@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-compilation-targets@npm:7.16.3,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-compilation-targets@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-create-class-features-plugin@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-create-class-features-plugin@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-create-regexp-features-plugin@npm:7.14.5,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-create-regexp-features-plugin@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-define-polyfill-provider@npm:0.1.5,MIT,https://github.com/babel/babel-polyfills.git,,,,
@babel/helper-define-polyfill-provider@npm:0.2.3,MIT,https://github.com/babel/babel-polyfills.git,,,,
@babel/helper-define-polyfill-provider@npm:0.3.0,MIT,https://github.com/babel/babel-polyfills.git,,,,
@babel/helper-environment-visitor@npm:7.16.5,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-environment-visitor@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-explode-assignable-expression@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-explode-assignable-expression@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-function-name@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-function-name@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-function-name@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-get-function-arity@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-get-function-arity@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-get-function-arity@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-hoist-variables@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-hoist-variables@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-hoist-variables@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-member-expression-to-functions@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-member-expression-to-functions@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-imports@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-imports@npm:7.16.0,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-imports@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-transforms@npm:7.15.8,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-transforms@npm:7.16.5,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-module-transforms@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-optimise-call-expression@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-optimise-call-expression@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-plugin-utils@npm:7.10.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-plugin-utils@npm:7.14.5,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-plugin-utils@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-remap-async-to-generator@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-remap-async-to-generator@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-replace-supers@npm:7.15.4,MIT,https://github.com/babel/babel.git,,,,
@babel/helper-replace-supers@npm:7.16.7,MIT,https://github.com/babel/babel.git,,,,
