module name,license,repository
@colors/colors@1.5.0,MIT,https://github.com/DABH/colors.js
@dabh/diagnostics@2.0.3,MIT,https://github.com/3rd-Eden/diagnostics
@ioredis/commands@1.1.1,MIT,https://github.com/ioredis/commands
@node-redis/bloom@1.0.1,MIT,
@node-redis/client@1.0.5,MIT,https://github.com/redis/node-redis
@node-redis/graph@1.0.0,MIT,
@node-redis/json@1.0.2,MIT,
@node-redis/search@1.0.5,MIT,
@node-redis/time-series@1.0.2,MIT,
@xmldom/xmldom@0.7.5,MIT,https://github.com/xmldom/xmldom
accepts@1.3.8,MIT,https://github.com/jshttp/accepts
ajv@6.12.6,MIT,https://github.com/ajv-validator/ajv
array-flatten@1.1.1,MIT,https://github.com/blakeembrey/array-flatten
asn1@0.2.6,MIT,https://github.com/joyent/node-asn1
assert-plus@1.0.0,MIT,https://github.com/mcavage/node-assert-plus
async@3.2.3,MIT,https://github.com/caolan/async
asynckit@0.4.0,MIT,https://github.com/alexindigo/asynckit
aws-sdk@2.1109.0,Apache-2.0,https://github.com/aws/aws-sdk-js
aws-sign2@0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign
aws4@1.11.0,MIT,https://github.com/mhart/aws4
base64-js@1.5.1,MIT,https://github.com/beatgammit/base64-js
bcrypt-pbkdf@1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf
body-parser@1.19.2,MIT,https://github.com/expressjs/body-parser
browser-detect@0.2.28,MIT,https://github.com/KennethanCeyer/browser-detect
buffer@4.9.2,MIT,https://github.com/feross/buffer
bytes@3.0.0,MIT,https://github.com/visionmedia/bytes.js
bytes@3.1.2,MIT,https://github.com/visionmedia/bytes.js
caseless@0.12.0,Apache-2.0,https://github.com/mikeal/caseless
client-sessions@0.8.0,MPL-2.0,https://github.com/mozilla/node-client-sessions
clone@2.1.2,MIT,https://github.com/pvorb/node-clone
cluster-key-slot@1.1.0,Apache*,https://github.com/Salakar/cluster-key-slot
color-convert@1.9.3,MIT,https://github.com/Qix-/color-convert
color-name@1.1.3,MIT,https://github.com/dfcreative/color-name
color-string@1.9.0,MIT,https://github.com/Qix-/color-string
color@3.2.1,MIT,https://github.com/Qix-/color
colorspace@1.1.4,MIT,https://github.com/3rd-Eden/colorspace
combined-stream@1.0.8,MIT,https://github.com/felixge/node-combined-stream
compressible@2.0.18,MIT,https://github.com/jshttp/compressible
compression@1.7.4,MIT,https://github.com/expressjs/compression
connect-redis@6.1.3,MIT,https://github.com/visionmedia/connect-redis
content-disposition@0.5.4,MIT,https://github.com/jshttp/content-disposition
content-type@1.0.4,MIT,https://github.com/jshttp/content-type
cookie-parser@1.4.6,MIT,https://github.com/expressjs/cookie-parser
cookie-signature@1.0.6,MIT,https://github.com/visionmedia/node-cookie-signature
cookie@0.4.1,MIT,https://github.com/jshttp/cookie
cookie@0.4.2,MIT,https://github.com/jshttp/cookie
cookies@0.7.3,MIT,https://github.com/pillarjs/cookies
core-js@2.6.12,MIT,https://github.com/zloirock/core-js
core-util-is@1.0.2,MIT,https://github.com/isaacs/core-util-is
